                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5127,                0.63223,                  1.045,                 0.9191,                0.85854,                0.92056,                0.43425,                 1.7412,                0.71135,                0.88179,               0.006535,               0.006535,               0.006535
                     37,                 1.5111,                0.63266,                 1.0425,                0.90877,                0.85931,                0.92066,                0.43994,                 1.7266,                0.70953,                0.88075,               0.006436,               0.006436,               0.006436
                     38,                 1.5056,                 0.6293,                 1.0428,                0.91016,                0.86283,                0.92147,                0.43262,                 1.7277,                0.70862,                0.87984,               0.006337,               0.006337,               0.006337
                     39,                 1.5154,                0.63319,                  1.037,                0.91426,                 0.8694,                 0.9241,                0.43958,                 1.7081,                0.69919,                0.87651,               0.006238,               0.006238,               0.006238
                     40,                 1.5148,                0.63245,                 1.0434,                0.91695,                0.86498,                0.92141,                0.43844,                  1.727,                0.70222,                0.87935,               0.006139,               0.006139,               0.006139
                     41,                 1.4975,                0.62449,                 1.0373,                0.91674,                0.86229,                0.91907,                0.42897,                 1.7397,                0.71052,                0.88098,                0.00604,                0.00604,                0.00604
                     42,                 1.5051,                0.62469,                 1.0376,                0.91356,                0.86535,                0.92146,                0.43783,                 1.7202,                0.70866,                0.87934,               0.005941,               0.005941,               0.005941
                     43,                 1.4948,                0.62118,                 1.0418,                0.91344,                0.87105,                 0.9267,                0.44395,                 1.7153,                0.70245,                0.87845,               0.005842,               0.005842,               0.005842
                     44,                 1.5079,                 0.6245,                 1.0364,                0.91707,                0.86044,                0.91937,                0.42479,                  1.795,                0.71866,                0.89197,               0.005743,               0.005743,               0.005743
                     45,                 1.4959,                0.61887,                 1.0373,                0.91801,                0.86603,                 0.9228,                0.43537,                 1.7462,                0.70179,                0.88223,               0.005644,               0.005644,               0.005644
                     46,                  1.494,                0.61934,                 1.0351,                0.91615,                0.86925,                0.92219,                0.42662,                 1.7557,                 0.7032,                0.88342,               0.005545,               0.005545,               0.005545
                     47,                 1.4849,                0.61188,                 1.0365,                0.91743,                0.86869,                0.92575,                0.43688,                 1.7385,                0.69787,                0.88187,               0.005446,               0.005446,               0.005446
                     48,                 1.4864,                0.61368,                 1.0349,                0.91558,                0.86421,                0.92262,                0.43795,                 1.7368,                  0.701,                0.88167,               0.005347,               0.005347,               0.005347
                     49,                   1.49,                0.61486,                 1.0342,                0.91756,                0.87193,                0.92554,                0.43821,                 1.7371,                0.69641,                0.88162,               0.005248,               0.005248,               0.005248
                     50,                  1.478,                 0.6093,                 1.0349,                0.91927,                0.87427,                0.92904,                0.44575,                 1.7156,                0.69337,                0.87825,               0.005149,               0.005149,               0.005149
                     51,                 1.4852,                0.61047,                 1.0362,                0.92228,                0.87238,                0.92865,                0.44577,                 1.7133,                0.69573,                0.87764,                0.00505,                0.00505,                0.00505
                     52,                 1.4863,                0.61308,                 1.0282,                0.92026,                0.87214,                0.93033,                0.45117,                 1.6913,                0.69081,                0.87442,               0.004951,               0.004951,               0.004951
                     53,                  1.474,                0.60537,                 1.0292,                0.92787,                0.87253,                0.92837,                0.44285,                 1.7171,                0.69029,                0.87732,               0.004852,               0.004852,               0.004852
                     54,                 1.4705,                 0.6053,                 1.0292,                0.92379,                0.87473,                0.93088,                0.45484,                 1.6865,                0.68271,                0.87394,               0.004753,               0.004753,               0.004753
                     55,                  1.477,                0.60407,                 1.0296,                0.92523,                0.87089,                0.93017,                0.44912,                 1.7214,                0.68946,                0.88038,               0.004654,               0.004654,               0.004654
                     56,                 1.4686,                0.60109,                 1.0289,                0.92209,                0.87168,                0.93223,                0.44748,                 1.7023,                0.68444,                0.87658,               0.004555,               0.004555,               0.004555
                     57,                 1.4601,                0.59646,                  1.025,                0.92123,                0.87523,                0.93047,                0.44382,                 1.7298,                 0.6973,                0.88057,               0.004456,               0.004456,               0.004456
                     58,                 1.4665,                 0.6005,                 1.0269,                0.92248,                0.87309,                0.92973,                0.44504,                  1.714,                0.68777,                0.87694,               0.004357,               0.004357,               0.004357
